dataset,eval,restart_id,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,epochs_used,method
Sleep-EDF,49,2,64,4,128,0.2,0.005,48,1.057096242904663,0.543749988079071,4,Hill Climbing
Sleep-EDF,50,2,64,4,96,0.2,0.005,64,1.0647153854370117,0.5393750071525574,4,Hill Climbing
Sleep-EDF,51,3,32,4,32,0.1,0.01,64,0.9856299757957458,0.574999988079071,4,Hill Climbing
Sleep-EDF,52,3,64,4,32,0.1,0.01,64,1.205135464668274,0.4724999964237213,3,Hill Climbing
Sleep-EDF,53,3,32,4,64,0.1,0.01,64,1.1513803005218506,0.47062501311302185,4,Hill Climbing
Sleep-EDF,54,3,32,4,32,0.1,0.005,64,1.1255539655685425,0.4856249988079071,4,Hill Climbing
Sleep-EDF,55,3,32,4,32,0.2,0.01,64,1.2777879238128662,0.45124998688697815,4,Hill Climbing
Sleep-EDF,56,3,32,4,32,0.1,0.01,48,1.3155238628387451,0.42750000953674316,4,Hill Climbing
Sleep-EDF,57,3,16,4,32,0.1,0.01,64,1.206757664680481,0.4712499976158142,4,Hill Climbing
Sleep-EDF,58,3,32,3,32,0.1,0.01,64,1.0318375825881958,0.5337499976158142,4,Hill Climbing
Sleep-EDF,59,3,32,5,32,0.1,0.01,64,1.0984275341033936,0.5212500095367432,4,Hill Climbing
Sleep-EDF,60,4,32,5,32,0.4,0.005,32,0.9697123169898987,0.5431249737739563,4,Hill Climbing
Sleep-EDF,61,4,32,5,32,0.4,0.005,16,1.0357874631881714,0.546875,4,Hill Climbing
Sleep-EDF,62,4,32,4,32,0.4,0.005,32,1.0836565494537354,0.546875,4,Hill Climbing
Sleep-EDF,63,4,16,5,32,0.4,0.005,32,1.0043830871582031,0.5618749856948853,4,Hill Climbing
Sleep-EDF,64,4,32,5,32,0.4,0.01,32,1.0562152862548828,0.5243750214576721,4,Hill Climbing
Sleep-EDF,65,4,32,5,32,0.3,0.005,32,0.9494114518165588,0.5862500071525574,4,Hill Climbing
Sleep-EDF,66,4,32,5,32,0.2,0.005,32,1.05841064453125,0.5293750166893005,4,Hill Climbing
Sleep-EDF,67,4,16,5,32,0.3,0.005,32,0.9551693797111511,0.5881249904632568,4,Hill Climbing
Sleep-EDF,68,4,32,4,32,0.3,0.005,32,0.9529345631599426,0.5806249976158142,4,Hill Climbing
Sleep-EDF,69,4,32,5,64,0.3,0.005,32,0.9319166541099548,0.6237499713897705,4,Hill Climbing
Sleep-EDF,70,4,32,5,64,0.3,0.005,16,1.005720615386963,0.550000011920929,4,Hill Climbing
Sleep-EDF,71,4,32,4,64,0.3,0.005,32,1.050175666809082,0.5456249713897705,4,Hill Climbing
Sleep-EDF,72,4,64,5,64,0.3,0.005,32,0.9538010954856873,0.5856249928474426,4,Hill Climbing
