filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,basin_id,phase,method
16,5,128,0.1,0.001,32,27.800954818725586,4,hc_step,Basin Hopping
16,5,128,0.1,0.0005,16,28.023630142211914,4,hc_step,Basin Hopping
16,5,96,0.1,0.001,16,26.05904197692871,4,hc_step,Basin Hopping
32,5,128,0.1,0.001,16,23.833436965942383,4,hc_step,Basin Hopping
16,5,128,0.2,0.001,16,26.45516014099121,4,hc_step,Basin Hopping
96,5,128,0.1,0.001,64,242.13323974609375,5,hc_start,Basin Hopping
96,4,128,0.1,0.001,64,125.59468078613281,5,hc_step,Basin Hopping
96,3,128,0.1,0.001,64,115.26757049560547,5,hc_step,Basin Hopping
96,3,128,0.2,0.001,64,98.27208709716797,5,hc_step,Basin Hopping
96,2,128,0.2,0.001,64,198.03294372558594,5,hc_step,Basin Hopping
64,3,128,0.2,0.001,64,249.98439025878906,5,hc_step,Basin Hopping
96,3,128,0.2,0.001,48,31.32000160217285,5,hc_step,Basin Hopping
96,3,128,0.2,0.005,48,28.02837371826172,5,hc_step,Basin Hopping
96,3,128,0.1,0.005,48,27.471553802490234,5,hc_step,Basin Hopping
96,3,96,0.1,0.005,48,27.829755783081055,5,hc_step,Basin Hopping
96,3,128,0.1,0.001,48,171.2403106689453,5,hc_step,Basin Hopping
128,3,128,0.1,0.005,48,27.721858978271484,5,hc_step,Basin Hopping
64,3,128,0.1,0.005,48,27.222108840942383,5,hc_step,Basin Hopping
32,3,128,0.1,0.005,48,27.78085708618164,5,hc_step,Basin Hopping
64,3,96,0.1,0.005,48,28.066604614257812,5,hc_step,Basin Hopping
96,3,128,0.1,0.005,48,27.677358627319336,5,hc_step,Basin Hopping
64,3,128,0.1,0.005,64,27.15872573852539,5,hc_step,Basin Hopping
64,3,128,0.1,0.005,48,27.771150588989258,5,hc_step,Basin Hopping
32,3,128,0.1,0.005,64,27.594560623168945,5,hc_step,Basin Hopping
64,3,96,0.1,0.005,64,27.314363479614258,5,hc_step,Basin Hopping
96,3,128,0.1,0.005,64,28.17392349243164,5,hc_step,Basin Hopping
64,3,128,0.1,0.001,64,38.215702056884766,5,hc_step,Basin Hopping
64,2,128,0.1,0.005,64,27.728126525878906,5,hc_step,Basin Hopping
64,3,128,0.2,0.005,64,27.941429138183594,5,hc_step,Basin Hopping
64,3,128,0.1,0.01,64,28.394968032836914,5,hc_step,Basin Hopping
