dataset,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Sleep-EDF,96,3,64,0.1,0.001,32,0.9524728059768677,0.58046875,0.5849545867344936,0.5723528086904917,0.5762442882857759,4,Tabu Search
Sleep-EDF,64,2,64,0.1,0.001,32,0.8951008915901184,0.61953125,0.6092511914570258,0.601605526272907,0.564552819823868,4,Tabu Search
Sleep-EDF,64,4,64,0.1,0.001,32,0.8493730425834656,0.63984375,0.6261239266677625,0.6279456566258639,0.6228251682207311,4,Tabu Search
Sleep-EDF,64,3,32,0.1,0.001,32,0.88703453540802,0.63359375,0.651886360530965,0.6211129893143024,0.6190138411571667,4,Tabu Search
Sleep-EDF,64,3,96,0.1,0.001,32,0.8633531332015991,0.63828125,0.618667897726657,0.6256280402984461,0.6184805000813632,4,Tabu Search
Sleep-EDF,64,3,64,0.2,0.001,32,0.8744164705276489,0.60390625,0.5801024460438639,0.5875457644226996,0.5736392338220482,4,Tabu Search
Sleep-EDF,64,3,64,0.1,0.005,32,1.143941879272461,0.50625,0.5538419579600828,0.4950111156670812,0.4721510570958798,4,Tabu Search
Sleep-EDF,64,3,64,0.1,0.001,16,0.8604754209518433,0.63046875,0.6099762983625909,0.6159592542447838,0.6046340186087185,4,Tabu Search
Sleep-EDF,64,3,64,0.1,0.001,48,1.0310914516448975,0.56328125,0.5978574074965606,0.5583785174424556,0.5638967444040146,4,Tabu Search
Sleep-EDF,32,4,64,0.1,0.001,32,0.8941532373428345,0.63046875,0.6208490574436274,0.6180163517998108,0.6156066771355528,4,Tabu Search
Sleep-EDF,96,4,64,0.1,0.001,32,0.943388819694519,0.60234375,0.6235890990783677,0.598402116049842,0.6059479319488331,4,Tabu Search
Sleep-EDF,64,5,64,0.1,0.001,32,0.8267104029655457,0.6421875,0.6200072020966524,0.6291625274742443,0.6216101685320917,4,Tabu Search
Sleep-EDF,64,4,32,0.1,0.001,32,1.0023869276046753,0.571875,0.5944791564607627,0.5647549830050574,0.5598186890577501,4,Tabu Search
Sleep-EDF,64,4,96,0.1,0.001,32,0.92277592420578,0.6109375,0.6298884810841333,0.6009257466914101,0.5948144079721833,4,Tabu Search
Sleep-EDF,64,4,64,0.2,0.001,32,0.963941216468811,0.58125,0.5491553746166099,0.5653700661052616,0.5432406483048803,4,Tabu Search
Sleep-EDF,64,4,64,0.1,0.0005,32,0.844894528388977,0.65,0.6277633820501534,0.6353726243397432,0.6239778808527998,4,Tabu Search
Sleep-EDF,64,4,64,0.1,0.005,32,1.1557469367980957,0.490625,0.562383810614648,0.49891759521961987,0.48505623477414284,4,Tabu Search
Sleep-EDF,64,4,64,0.1,0.001,16,0.8845081329345703,0.6125,0.6174469189052366,0.6036768423960632,0.6051800311094421,4,Tabu Search
Sleep-EDF,64,4,64,0.1,0.001,48,0.9595307111740112,0.5796875,0.5656742752269863,0.5654642483840192,0.537420529265044,4,Tabu Search
Sleep-EDF,32,5,64,0.1,0.001,32,0.8832098245620728,0.64453125,0.6299474908855626,0.6309340731898339,0.6174007694898358,4,Tabu Search
Sleep-EDF,96,5,64,0.1,0.001,32,0.9518427848815918,0.60234375,0.5829266403618802,0.5869978718942157,0.5647237824621409,4,Tabu Search
Sleep-EDF,64,5,32,0.1,0.001,32,0.9457211494445801,0.6046875,0.6075862648822615,0.5947714776459023,0.5896095195617936,4,Tabu Search
Sleep-EDF,64,5,96,0.1,0.001,32,0.8621037602424622,0.63671875,0.614181365914152,0.6264870238078768,0.6180561963982247,4,Tabu Search
Sleep-EDF,64,5,64,0.2,0.001,32,0.8698257207870483,0.65546875,0.6535464303218406,0.6449483662750641,0.6464559522148754,4,Tabu Search
Sleep-EDF,64,5,64,0.1,0.0005,32,0.8354706764221191,0.65546875,0.645127777392245,0.6417982123337318,0.6285897611166525,4,Tabu Search
Sleep-EDF,64,5,64,0.1,0.005,32,1.0186116695404053,0.590625,0.585638063521696,0.5742925778096328,0.5631636616170012,4,Tabu Search
Sleep-EDF,64,5,64,0.1,0.001,16,0.8425321578979492,0.64140625,0.633522709945004,0.6298634631868646,0.6296036369956011,4,Tabu Search
Sleep-EDF,64,5,64,0.1,0.001,48,0.8865140080451965,0.63515625,0.6283905397039922,0.624101998351964,0.6186317331942044,4,Tabu Search
Sleep-EDF,32,5,64,0.1,0.0005,32,0.8937000036239624,0.6140625,0.593413337460012,0.5960382384256993,0.5661811650713036,4,Tabu Search
Sleep-EDF,96,5,64,0.1,0.0005,32,0.863549530506134,0.625,0.6303928062200073,0.6141372745267649,0.6116038957943445,4,Tabu Search
Sleep-EDF,64,4,64,0.1,0.0005,32,0.8334619402885437,0.66328125,0.6569710122665491,0.6492843887548944,0.6389447193330249,4,Tabu Search
Sleep-EDF,64,5,32,0.1,0.0005,32,0.8936580419540405,0.6328125,0.642361956886909,0.6238847369172913,0.6280957811664154,4,Tabu Search
Sleep-EDF,64,5,96,0.1,0.0005,32,0.7957612872123718,0.66171875,0.6485272828539171,0.6470836218232731,0.6386320460876771,4,Tabu Search
Sleep-EDF,64,5,64,0.2,0.0005,32,0.8828083872795105,0.63359375,0.6463852221652605,0.6204954756415255,0.6106556956956051,4,Tabu Search
Sleep-EDF,64,5,64,0.1,0.0001,32,0.9551464319229126,0.5875,0.5532209678852724,0.5738985182411666,0.5602069514276014,4,Tabu Search
Sleep-EDF,64,5,64,0.1,0.0005,16,0.84092777967453,0.63984375,0.6287065658399279,0.6261949076400415,0.6235363965165232,4,Tabu Search
