dataset,iteration,ant,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Haaglanden,4,9,32,2,128,0.5,0.001,64,1.5996803045272827,0.29375,0.36564681098760987,0.29607289891336586,0.17660765470868828,3,ACO
Haaglanden,4,10,128,5,128,0.4,0.005,48,1.2807338237762451,0.43046875,0.33873407331909844,0.4273648352937922,0.34575153838143374,4,ACO
Haaglanden,5,1,128,5,128,0.4,0.01,16,1.468257188796997,0.38671875,0.28123587390704585,0.386795572671059,0.3010967205968539,4,ACO
Haaglanden,5,2,32,5,32,0.5,0.0001,64,1.5988266468048096,0.246875,0.26495969136205477,0.2537291960324469,0.1831158745270693,4,ACO
Haaglanden,5,3,96,5,128,0.2,0.005,48,1.527247428894043,0.34375,0.36346788015569004,0.34241415706082456,0.27673975533116735,4,ACO
Haaglanden,5,4,128,5,64,0.2,0.001,48,1.4458576440811157,0.415625,0.35472321297301496,0.41299719127759793,0.3308320944311888,4,ACO
Haaglanden,5,5,16,5,32,0.1,0.001,16,1.1718796491622925,0.515625,0.4824806666133096,0.5078161410168439,0.4480523597078503,4,ACO
Haaglanden,5,6,32,5,128,0.5,0.0001,16,1.4536985158920288,0.38046875,0.3311078197165154,0.3812110774907311,0.2871844968067806,4,ACO
Haaglanden,5,7,128,2,32,0.2,0.01,32,1.364933729171753,0.45546875,0.43200538079806605,0.4565003600311746,0.43077046495778787,4,ACO
Haaglanden,5,8,32,4,128,0.1,0.005,16,1.2875618934631348,0.4453125,0.49836243186781426,0.44833426462019405,0.4096652935267711,4,ACO
Haaglanden,5,9,32,4,32,0.4,0.01,16,1.440307855606079,0.35,0.32736163154649267,0.3468166678396376,0.3024233651370497,3,ACO
Haaglanden,5,10,32,3,128,0.3,0.005,32,1.2214961051940918,0.48125,0.49202824833451275,0.4790924403576593,0.41912838939972286,4,ACO
Haaglanden,6,1,32,3,128,0.1,0.01,64,1.4343904256820679,0.3796875,0.3716623134097209,0.3771404756618765,0.31771910817739163,4,ACO
Haaglanden,6,2,128,5,128,0.1,0.001,48,1.2708194255828857,0.49921875,0.4727544076019973,0.4956579710841039,0.46420468356816863,4,ACO
Haaglanden,6,3,128,4,128,0.1,0.005,16,1.3125828504562378,0.4296875,0.38805063096667186,0.4375829969365805,0.38403365519233296,4,ACO
Haaglanden,6,4,96,5,128,0.5,0.01,64,1.4435559511184692,0.32578125,0.31973698815399204,0.32911498616908436,0.23208663229315243,4,ACO
Haaglanden,6,5,96,5,128,0.1,0.005,48,1.2936375141143799,0.37890625,0.4476776361808935,0.39437538006007944,0.35465092701967177,4,ACO
Haaglanden,6,6,32,2,128,0.5,0.01,32,1.4682080745697021,0.34453125,0.2700098556002234,0.3496030817168008,0.2934600591840205,4,ACO
Haaglanden,6,7,128,5,32,0.4,0.0001,48,1.5534871816635132,0.30078125,0.2877390842795163,0.29804075606385133,0.23839865636453372,4,ACO
Haaglanden,6,8,96,4,32,0.2,0.01,16,1.298943281173706,0.43203125,0.39900771380315314,0.43454244899205363,0.40313888956353205,4,ACO
Haaglanden,6,9,64,5,32,0.3,0.005,48,1.2006170749664307,0.48359375,0.49013690546056693,0.48336248457749653,0.45397212203478016,4,ACO
Haaglanden,6,10,96,4,32,0.3,0.001,64,1.3958221673965454,0.403125,0.3765017976341907,0.4025871542075885,0.3408841829290966,4,ACO
Haaglanden,7,1,128,5,128,0.3,0.005,32,1.3897950649261475,0.40390625,0.42188150676807445,0.40203070721208034,0.3537062016085927,4,ACO
Haaglanden,7,2,16,5,32,0.3,0.001,16,1.2485625743865967,0.49765625,0.4546466475659308,0.4915718156787568,0.4423393653102473,4,ACO
Haaglanden,7,3,96,2,128,0.4,0.01,16,1.4511611461639404,0.38125,0.23675892499773976,0.3750130996710638,0.2899344468969467,4,ACO
Haaglanden,7,4,96,2,128,0.2,0.005,16,1.4867302179336548,0.34140625,0.381590910853246,0.3301992532079139,0.23430169346680857,4,ACO
Haaglanden,7,5,128,3,128,0.3,0.005,64,2.137822389602661,0.2328125,0.2970968999677726,0.23187484100500294,0.13678048968212908,4,ACO
Haaglanden,7,6,128,2,128,0.1,0.005,16,1.392221212387085,0.396875,0.3754838763491984,0.39772291522636694,0.3491408794949248,4,ACO
Haaglanden,7,7,128,5,128,0.1,0.0001,48,1.530343770980835,0.35625,0.3076843238160323,0.357429827216447,0.27589478314421995,4,ACO
Haaglanden,7,8,96,4,128,0.5,0.005,16,1.408046007156372,0.4015625,0.365874634921094,0.40389937607459886,0.35672354060895395,4,ACO
Haaglanden,7,9,16,5,32,0.3,0.001,16,1.2087526321411133,0.4828125,0.45105110122030256,0.4780865995727299,0.4160179954575665,4,ACO
Haaglanden,7,10,32,2,32,0.5,0.005,48,1.395678162574768,0.41796875,0.32078682388171437,0.4186852166229598,0.3403283390415238,4,ACO
Haaglanden,8,1,32,2,128,0.2,0.005,32,1.2395291328430176,0.4796875,0.44309963833912863,0.47683790283137595,0.42643421687488725,4,ACO
Haaglanden,8,2,32,2,32,0.5,0.01,16,1.458258867263794,0.36328125,0.3875804118344604,0.36424674383002487,0.2521730626213806,4,ACO
Haaglanden,8,3,32,5,128,0.2,0.01,64,1.2801320552825928,0.45234375,0.4579151160124023,0.4442245225375639,0.38414660387021615,4,ACO
Haaglanden,8,4,32,2,32,0.2,0.005,16,1.3764487504959106,0.38515625,0.32986509933878355,0.38062336933932267,0.3266806080723619,4,ACO
Haaglanden,8,5,96,5,32,0.1,0.001,16,1.1428511142730713,0.51484375,0.5067080448071895,0.509144486701911,0.498782641420034,4,ACO
Haaglanden,8,6,32,5,128,0.5,0.01,48,1.6099774837493896,0.1734375,0.034687499999999996,0.2,0.059121171770972036,4,ACO
Haaglanden,8,7,128,4,128,0.1,0.0001,16,1.1365888118743896,0.51171875,0.49776934239783815,0.505939257588561,0.47561164096796704,4,ACO
Haaglanden,8,8,128,5,32,0.3,0.0001,64,1.5506999492645264,0.3125,0.3160694817809315,0.3028173907199889,0.2780978129546655,4,ACO
Haaglanden,8,9,32,2,64,0.5,0.005,16,1.3618934154510498,0.4046875,0.2954152997287522,0.41351830321957095,0.31055163224221,4,ACO
Haaglanden,8,10,128,4,32,0.4,0.001,32,1.2157498598098755,0.4796875,0.4755606806509152,0.4735405756668465,0.45062052575845224,4,ACO
Haaglanden,9,1,96,5,32,0.2,0.005,16,1.312624216079712,0.4296875,0.4074492213296998,0.4267749960507586,0.39013275505939105,4,ACO
Haaglanden,9,2,16,2,32,0.5,0.0001,32,1.5955705642700195,0.25078125,0.23089356189521976,0.2517760797251195,0.1935619582445167,4,ACO
Haaglanden,9,3,32,2,128,0.3,0.005,48,1.4812707901000977,0.3828125,0.33883514690127836,0.3756413813085082,0.28511736896205786,4,ACO
Haaglanden,9,4,32,4,128,0.2,0.001,16,1.2883379459381104,0.45234375,0.42396959199622763,0.4514139205101927,0.4256171915869982,4,ACO
Haaglanden,9,5,128,5,128,0.2,0.005,32,1.2682077884674072,0.46875,0.4480139017453705,0.47118414223723637,0.44049634681932587,4,ACO
Haaglanden,9,6,16,2,128,0.3,0.005,16,1.3965671062469482,0.43125,0.42578656970448386,0.4242549984221881,0.3973249562092444,4,ACO
Haaglanden,9,7,16,4,32,0.4,0.001,16,1.2642024755477905,0.47578125,0.4254117525358973,0.47608565907800254,0.4111569342928183,4,ACO
Haaglanden,9,8,128,2,128,0.2,0.01,64,2.284794330596924,0.20078125,0.04015625,0.2,0.06688353936239427,4,ACO
Haaglanden,9,9,32,2,128,0.2,0.005,48,1.3043650388717651,0.45546875,0.3955526174220466,0.4488760781079094,0.37278200662450345,4,ACO
Haaglanden,9,10,128,3,64,0.2,0.005,16,1.3205270767211914,0.4140625,0.3825618418580679,0.41253810302260163,0.3509611416916929,4,ACO
Haaglanden,10,1,96,5,32,0.3,0.01,32,1.3325735330581665,0.3984375,0.40962592986683666,0.4018967831896162,0.39522995138415673,4,ACO
Haaglanden,10,2,16,5,128,0.2,0.01,16,1.4543005228042603,0.35390625,0.23374252605486223,0.35459184031168467,0.2439553003340253,3,ACO
Haaglanden,10,3,32,2,128,0.2,0.001,48,1.334115743637085,0.41328125,0.38744577373732525,0.41321118802102863,0.34678370801589253,4,ACO
Haaglanden,10,4,128,4,128,0.4,0.0001,64,1.6212756633758545,0.2046875,0.0933928795024834,0.20370370370370372,0.07464110033690297,3,ACO
Haaglanden,10,5,32,4,32,0.5,0.005,16,1.2237422466278076,0.4765625,0.45667421033026095,0.4816961803920508,0.45222662132918756,4,ACO
Haaglanden,10,6,16,5,128,0.2,0.005,32,1.315548062324524,0.4140625,0.37036589417329624,0.413663756101311,0.3400059115446368,4,ACO
Haaglanden,10,7,96,4,128,0.1,0.005,16,1.2849829196929932,0.4484375,0.42917995884255944,0.4484006253379921,0.38009643297035356,4,ACO
Haaglanden,10,8,128,5,64,0.4,0.01,16,1.3310917615890503,0.415625,0.3715395698234574,0.4121316166351939,0.34377622346836684,4,ACO
Haaglanden,10,9,128,5,96,0.3,0.005,16,1.2934800386428833,0.43671875,0.3836496003297998,0.43706880830515826,0.3731971556673488,4,ACO
Haaglanden,10,10,128,2,32,0.1,0.001,32,1.2865195274353027,0.46484375,0.4600398195320432,0.46467154274358985,0.4100013464400153,4,ACO
