dataset,trial,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Haaglanden,75,128,5,96,0.5,0.001,32,1.157302737236023,0.5046875,0.48009138078656355,0.5061564672133267,0.48272037251508254,4,Random Search
Haaglanden,76,64,2,128,0.3,0.01,48,1.597322702407837,0.27109375,0.13535020923372437,0.26138348465196715,0.16189195917351257,4,Random Search
Haaglanden,77,96,5,64,0.4,0.01,32,1.4714704751968384,0.35625,0.38353333123511574,0.34886627792238434,0.27192331777345957,4,Random Search
Haaglanden,78,16,2,64,0.4,0.005,16,1.3813526630401611,0.37734375,0.26995146017347016,0.3771024656602666,0.2647479869313082,4,Random Search
Haaglanden,79,96,2,32,0.3,0.005,48,1.6744171380996704,0.28515625,0.34298217100229056,0.29211422202384923,0.2251089832902645,4,Random Search
Haaglanden,80,16,3,64,0.3,0.0005,16,1.219774842262268,0.4734375,0.40542331118954006,0.4705091607413686,0.3936872787898658,4,Random Search
Haaglanden,81,16,5,64,0.1,0.01,32,1.259026050567627,0.45546875,0.4804861562426191,0.45336638006149743,0.46255296299871745,4,Random Search
Haaglanden,82,16,5,64,0.4,0.0001,16,1.4473687410354614,0.3609375,0.3393430702165186,0.3646140075774819,0.2506419722952846,4,Random Search
Haaglanden,83,64,2,128,0.4,0.01,16,1.6088275909423828,0.21796875,0.04359375,0.2,0.07158434894162925,4,Random Search
Haaglanden,84,32,4,128,0.4,0.0005,64,1.4496289491653442,0.38359375,0.3377974983096687,0.3866027111226057,0.2828190481287557,4,Random Search
Haaglanden,85,128,5,128,0.5,0.0001,48,1.5411763191223145,0.28046875,0.2961109262545598,0.2928488080326916,0.25521768110729925,4,Random Search
Haaglanden,86,128,2,96,0.3,0.0001,48,1.5091235637664795,0.334375,0.2607327881245639,0.3362577040272534,0.2311463408345949,4,Random Search
Haaglanden,87,16,4,96,0.2,0.0005,16,1.207103967666626,0.490625,0.4425233726580092,0.4855638717129868,0.4232041759248978,4,Random Search
Haaglanden,88,32,3,96,0.4,0.005,16,1.2762455940246582,0.40390625,0.3745105007467536,0.4073974614755335,0.3369636740841788,4,Random Search
Haaglanden,89,96,5,96,0.1,0.01,32,1.2883059978485107,0.40078125,0.45188014577173197,0.40972530869731827,0.38239752013131534,4,Random Search
Haaglanden,90,32,5,32,0.5,0.0001,16,1.5609248876571655,0.315625,0.2704066100346295,0.3185929643893746,0.25196399296430505,4,Random Search
Haaglanden,91,96,3,96,0.3,0.005,16,1.3321707248687744,0.3953125,0.340236387256086,0.39339513516995633,0.3214331676190591,4,Random Search
Haaglanden,92,128,5,96,0.4,0.005,64,2.2138524055480957,0.271875,0.3438407489878078,0.27431342116920127,0.19590880788944684,4,Random Search
Haaglanden,93,96,2,128,0.4,0.0005,64,1.596116304397583,0.2671875,0.3545058201058201,0.267294563117332,0.16561287256047424,4,Random Search
Haaglanden,94,64,4,32,0.3,0.0005,64,1.5178669691085815,0.33515625,0.23026146394407015,0.3352239183543313,0.2442863271849859,4,Random Search
Haaglanden,95,16,4,32,0.5,0.0005,64,1.6087377071380615,0.2359375,0.2306405811529278,0.23646483023036305,0.19429274852976638,3,Random Search
Haaglanden,96,64,3,64,0.1,0.005,64,1.4830732345581055,0.3421875,0.4471838724357922,0.33472053990191303,0.26615293420271396,4,Random Search
Haaglanden,97,64,3,64,0.3,0.01,32,1.387489676475525,0.3765625,0.38805519735819616,0.3687130373034729,0.3161287586397358,4,Random Search
Haaglanden,98,16,4,32,0.1,0.005,48,1.2350250482559204,0.47890625,0.46501089689370245,0.4737694388968395,0.4209560209295862,4,Random Search
Haaglanden,99,96,4,32,0.3,0.005,48,1.3191372156143188,0.41640625,0.39200434306313586,0.41501469839363647,0.3817209702362058,4,Random Search
Haaglanden,100,32,3,64,0.3,0.01,32,1.3730039596557617,0.3953125,0.3565096643142926,0.39259874265773603,0.3478589009739464,4,Random Search
