dataset,trial,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Sleep-EDF,77,64,2,96,0.2,0.0005,32,0.9356532096862793,0.59765625,0.5885711366569172,0.5838043644987743,0.5812107949714502,4,Random Search
Sleep-EDF,78,16,4,128,0.4,0.005,64,1.369269847869873,0.35234375,0.46416007905138346,0.3362081958653625,0.24196149102019643,3,Random Search
Sleep-EDF,79,32,3,96,0.3,0.005,32,1.1115562915802002,0.52265625,0.48497527907676385,0.5042366669362949,0.46597270093986615,4,Random Search
Sleep-EDF,80,32,5,32,0.5,0.0001,32,1.5080113410949707,0.39609375,0.35425083694367254,0.3820205095846972,0.3536808949235845,4,Random Search
Sleep-EDF,81,128,3,64,0.2,0.01,64,1.3823449611663818,0.38046875,0.409305295734549,0.3800594820919236,0.38792223590636243,4,Random Search
Sleep-EDF,82,16,3,32,0.3,0.0001,32,1.4011867046356201,0.3953125,0.3483478692083849,0.3737317573854061,0.26180871198086086,4,Random Search
Sleep-EDF,83,128,2,64,0.4,0.01,32,1.242641806602478,0.4515625,0.39772880477769235,0.44436735671215316,0.39752938166614,4,Random Search
Sleep-EDF,84,128,3,32,0.2,0.0005,32,0.9286324381828308,0.60078125,0.5800382975351673,0.5866192657725169,0.5802642468933362,4,Random Search
Sleep-EDF,85,96,3,128,0.5,0.0005,48,1.3926888704299927,0.43125,0.3815079196181558,0.41027248551455797,0.3092944471810216,4,Random Search
Sleep-EDF,86,64,5,128,0.4,0.005,16,1.047420620918274,0.57265625,0.564037279215701,0.5628365519692283,0.556015823298731,4,Random Search
Sleep-EDF,87,96,5,64,0.2,0.005,32,1.028283715248108,0.534375,0.42914605009926826,0.5247481285087018,0.46820638371032447,4,Random Search
Sleep-EDF,88,128,2,96,0.5,0.005,64,1.7496674060821533,0.3,0.365020015584791,0.3167768005217534,0.2517632313720789,4,Random Search
Sleep-EDF,89,128,2,128,0.1,0.005,16,1.3202946186065674,0.42734375,0.49054252913542273,0.44185019192031455,0.37999997878546216,4,Random Search
Sleep-EDF,90,96,4,128,0.5,0.005,64,1.1221258640289307,0.53359375,0.5699070371194173,0.5340130438653038,0.5169892580499411,4,Random Search
Sleep-EDF,91,128,3,64,0.2,0.001,16,0.905724823474884,0.59765625,0.5811755687929512,0.5848168007398391,0.5702573758021898,4,Random Search
Sleep-EDF,92,64,3,128,0.5,0.0001,64,1.4359040260314941,0.3984375,0.3938305287508297,0.3778715932975861,0.3300878794390349,4,Random Search
Sleep-EDF,93,128,5,96,0.2,0.01,48,1.0160510540008545,0.5765625,0.578857836957549,0.5625330126576353,0.5361990074869314,4,Random Search
Sleep-EDF,94,64,3,32,0.1,0.0001,64,1.4212532043457031,0.403125,0.38230318035275496,0.3811032348833099,0.316417588181093,4,Random Search
Sleep-EDF,95,128,2,64,0.3,0.01,32,1.2083332538604736,0.48203125,0.4332759107389276,0.4688573737202278,0.4297415333328267,4,Random Search
Sleep-EDF,96,32,3,128,0.5,0.001,32,1.108810305595398,0.5515625,0.5218675473586422,0.5326300119181113,0.49829309264302835,4,Random Search
Sleep-EDF,97,32,2,32,0.4,0.0005,64,1.3422244787216187,0.409375,0.3184946905534704,0.3889434015435927,0.27692727044913834,4,Random Search
Sleep-EDF,98,16,3,96,0.1,0.0005,48,0.9515549540519714,0.6046875,0.6052275759099289,0.5938184824467523,0.5852967960278612,4,Random Search
Sleep-EDF,99,32,4,96,0.3,0.005,48,0.9244121313095093,0.60234375,0.5131364251679277,0.5948820262906886,0.5437504519525018,4,Random Search
Sleep-EDF,100,128,5,32,0.2,0.005,64,1.1084386110305786,0.5234375,0.5147982576128751,0.507025469112144,0.4937204752411928,4,Random Search
