dataset,probe,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Sleep-EDF,35,41,3,124,0.48902311527040887,0.004586862553731271,37,0.9861341714859009,0.58125,0.5675888940669991,0.5630317143476509,0.5041812012141998,4,Bayesian Optimization
Sleep-EDF,36,63,4,76,0.1828466527178143,0.005925782378751537,25,1.1595141887664795,0.49765625,0.6469238851763125,0.49401437615408417,0.45165131207941905,4,Bayesian Optimization
Sleep-EDF,37,91,2,109,0.2063940720041916,0.0025631148446628926,23,0.9386144876480103,0.58515625,0.5995212602290441,0.5771794302295655,0.5801805590197688,4,Bayesian Optimization
Sleep-EDF,38,84,4,99,0.29576908428810644,0.0007420607651610234,41,0.9692374467849731,0.5859375,0.5710949081040744,0.5729702948370923,0.5648906367589722,4,Bayesian Optimization
Sleep-EDF,39,112,4,34,0.2343343188686823,0.007002771317453564,24,1.0895613431930542,0.553125,0.525053613239913,0.5433556557750329,0.5151248939253658,4,Bayesian Optimization
Sleep-EDF,40,27,3,54,0.1572437011528095,0.008204342644627842,22,1.0425136089324951,0.5484375,0.5608483086236706,0.5291256855203692,0.4925824713017432,4,Bayesian Optimization
Sleep-EDF,41,58,3,32,0.16858626906995844,0.006391472224062686,61,1.061262845993042,0.54921875,0.5796018419934371,0.5391149098295495,0.5312282300281702,4,Bayesian Optimization
Sleep-EDF,42,104,3,94,0.2814904164556381,0.0064529832027310635,50,1.2135765552520752,0.43125,0.5555044076521451,0.4433118079670173,0.4284349886106928,4,Bayesian Optimization
Sleep-EDF,43,111,4,120,0.14317498286766686,0.00996842130497612,32,1.1042827367782593,0.51484375,0.4568664014102522,0.49761903882652037,0.44807093480704785,4,Bayesian Optimization
Sleep-EDF,44,68,3,54,0.48291718539822004,0.007136877347102106,17,1.2861634492874146,0.4875,0.5021903934425572,0.46737489227452916,0.4563811183983801,3,Bayesian Optimization
Sleep-EDF,45,102,2,124,0.46610025445593206,0.0018800221019554964,32,1.083443284034729,0.5640625,0.5800900176845015,0.5600032908475423,0.5601895562427087,4,Bayesian Optimization
Sleep-EDF,46,82,4,39,0.20752530741876335,0.006951999769467944,32,1.129678726196289,0.490625,0.515548679923821,0.4802958333432386,0.4670456368647441,4,Bayesian Optimization
Sleep-EDF,47,102,4,60,0.1587780307307874,0.00024663229419545776,24,0.8932496905326843,0.603125,0.5899690522156719,0.5896613144248105,0.5630159266295923,4,Bayesian Optimization
Sleep-EDF,48,101,3,59,0.28523113027735214,0.002575894796177481,24,1.1433237791061401,0.490625,0.692396923602667,0.4998688633136779,0.4542889079515735,4,Bayesian Optimization
Sleep-EDF,49,102,4,60,0.1214755010919902,0.0001,23,0.9127811193466187,0.61015625,0.5807162899472436,0.5971024409638812,0.583936170422486,4,Bayesian Optimization
Sleep-EDF,50,50,2,96,0.23797311247173455,0.00014160475343786714,39,1.1489454507827759,0.50234375,0.44986174284342423,0.48649018649210785,0.4395233899593179,4,Bayesian Optimization
