dataset,trial,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,epochs_used,method
Haaglanden,54,64,2,32,0.1,0.0001,64,1.5292081832885742,0.3343749940395355,4,Grid Search
Haaglanden,55,64,2,32,0.3,0.01,16,1.4177418947219849,0.38374999165534973,4,Grid Search
Haaglanden,56,64,2,32,0.3,0.01,64,1.723750114440918,0.3087500035762787,4,Grid Search
Haaglanden,57,64,2,32,0.3,0.001,16,1.2585325241088867,0.4518750011920929,4,Grid Search
Haaglanden,58,64,2,32,0.3,0.001,64,1.3585870265960693,0.4087499976158142,4,Grid Search
Haaglanden,59,64,2,32,0.3,0.0001,16,1.4445980787277222,0.36625000834465027,4,Grid Search
Haaglanden,60,64,2,32,0.3,0.0001,64,1.5782650709152222,0.24500000476837158,4,Grid Search
Haaglanden,61,64,2,64,0.1,0.01,16,1.4430668354034424,0.34812501072883606,4,Grid Search
Haaglanden,62,64,2,64,0.1,0.01,64,1.5451643466949463,0.3162499964237213,4,Grid Search
Haaglanden,63,64,2,64,0.1,0.001,16,1.1886088848114014,0.4762499928474426,4,Grid Search
Haaglanden,64,64,2,64,0.1,0.001,64,1.3023866415023804,0.43062499165534973,4,Grid Search
Haaglanden,65,64,2,64,0.1,0.0001,16,1.2443288564682007,0.45750001072883606,4,Grid Search
Haaglanden,66,64,2,64,0.1,0.0001,64,1.4601502418518066,0.36500000953674316,4,Grid Search
Haaglanden,67,64,2,64,0.3,0.01,16,1.3701987266540527,0.3881250023841858,4,Grid Search
Haaglanden,68,64,2,64,0.3,0.01,64,1.6608847379684448,0.2824999988079071,4,Grid Search
Haaglanden,69,64,2,64,0.3,0.001,16,1.2048667669296265,0.47562500834465027,4,Grid Search
Haaglanden,70,64,2,64,0.3,0.001,64,1.3803989887237549,0.41187500953674316,4,Grid Search
Haaglanden,71,64,2,64,0.3,0.0001,16,1.3823997974395752,0.4074999988079071,4,Grid Search
Haaglanden,72,64,2,64,0.3,0.0001,64,1.538543701171875,0.3362500071525574,4,Grid Search
Haaglanden,73,64,5,32,0.1,0.01,16,1.4842456579208374,0.3174999952316284,3,Grid Search
Haaglanden,74,64,5,32,0.1,0.01,64,1.4249919652938843,0.38499999046325684,4,Grid Search
Haaglanden,75,64,5,32,0.1,0.001,16,1.1135809421539307,0.53125,4,Grid Search
Haaglanden,76,64,5,32,0.1,0.001,64,1.2201128005981445,0.46437498927116394,4,Grid Search
Haaglanden,77,64,5,32,0.1,0.0001,16,1.239404559135437,0.47749999165534973,4,Grid Search
Haaglanden,78,64,5,32,0.1,0.0001,64,1.4673941135406494,0.3543750047683716,4,Grid Search
Haaglanden,79,64,5,32,0.3,0.01,16,1.3962346315383911,0.3868750035762787,4,Grid Search
Haaglanden,80,64,5,32,0.3,0.01,64,1.589969277381897,0.3075000047683716,3,Grid Search
Haaglanden,81,64,5,32,0.3,0.001,16,1.2088062763214111,0.4818750023841858,4,Grid Search
Haaglanden,82,64,5,32,0.3,0.001,64,1.333925724029541,0.45500001311302185,4,Grid Search
Haaglanden,83,64,5,32,0.3,0.0001,16,1.3263012170791626,0.4231249988079071,4,Grid Search
Haaglanden,84,64,5,32,0.3,0.0001,64,1.5512607097625732,0.35062500834465027,4,Grid Search
Haaglanden,85,64,5,64,0.1,0.01,16,1.3580825328826904,0.38874998688697815,4,Grid Search
Haaglanden,86,64,5,64,0.1,0.01,64,1.3611782789230347,0.42750000953674316,4,Grid Search
Haaglanden,87,64,5,64,0.1,0.001,16,1.1057112216949463,0.5331249833106995,4,Grid Search
Haaglanden,88,64,5,64,0.1,0.001,64,1.3322227001190186,0.4268749952316284,4,Grid Search
Haaglanden,89,64,5,64,0.1,0.0001,16,1.1666839122772217,0.5012500286102295,4,Grid Search
Haaglanden,90,64,5,64,0.1,0.0001,64,1.3842812776565552,0.39250001311302185,4,Grid Search
Haaglanden,91,64,5,64,0.3,0.01,16,1.336859941482544,0.4231249988079071,4,Grid Search
Haaglanden,92,64,5,64,0.3,0.01,64,1.5472511053085327,0.3149999976158142,4,Grid Search
Haaglanden,93,64,5,64,0.3,0.001,16,1.1150256395339966,0.5274999737739563,4,Grid Search
Haaglanden,94,64,5,64,0.3,0.001,64,1.3717352151870728,0.4337500035762787,4,Grid Search
Haaglanden,95,64,5,64,0.3,0.0001,16,1.2864999771118164,0.44062501192092896,4,Grid Search
Haaglanden,96,64,5,64,0.3,0.0001,64,1.5114593505859375,0.33375000953674316,4,Grid Search
