dataset,eval,restart_id,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,epochs_used,method
Haaglanden,50,4,96,3,96,0.1,0.0005,16,1.1094841957092285,0.5274999737739563,4,Hill Climbing
Haaglanden,51,4,128,3,96,0.1,0.0005,16,1.1201906204223633,0.5137500166893005,4,Hill Climbing
Haaglanden,52,4,96,3,96,0.1,0.0001,16,1.118850588798523,0.5274999737739563,4,Hill Climbing
Haaglanden,53,4,96,2,96,0.1,0.0005,16,1.1444495916366577,0.5231249928474426,4,Hill Climbing
Haaglanden,54,4,96,3,96,0.1,0.0005,32,1.196916937828064,0.4662500023841858,4,Hill Climbing
Haaglanden,55,4,96,3,96,0.1,0.001,16,1.1830439567565918,0.5056250095367432,4,Hill Climbing
Haaglanden,56,4,96,3,128,0.1,0.0005,16,1.1279916763305664,0.5268750190734863,4,Hill Climbing
Haaglanden,57,4,64,3,96,0.1,0.0005,16,1.1198021173477173,0.5206249952316284,4,Hill Climbing
Haaglanden,58,4,96,3,64,0.1,0.0005,16,1.1599228382110596,0.4881249964237213,4,Hill Climbing
Haaglanden,59,4,96,4,96,0.1,0.0005,16,1.0614906549453735,0.5450000166893005,4,Hill Climbing
Haaglanden,60,4,96,4,128,0.1,0.0005,16,1.036681890487671,0.5668749809265137,4,Hill Climbing
Haaglanden,61,4,96,3,128,0.1,0.0005,16,1.0483944416046143,0.546875,4,Hill Climbing
Haaglanden,62,4,96,5,128,0.1,0.0005,16,1.072930932044983,0.5356249809265137,4,Hill Climbing
Haaglanden,63,4,96,4,128,0.2,0.0005,16,1.0647200345993042,0.5600000023841858,4,Hill Climbing
Haaglanden,64,4,96,4,128,0.1,0.0001,16,1.0779674053192139,0.5393750071525574,4,Hill Climbing
Haaglanden,65,4,128,4,128,0.1,0.0005,16,1.104677438735962,0.5299999713897705,4,Hill Climbing
Haaglanden,66,4,96,4,96,0.1,0.0005,16,1.1150599718093872,0.5325000286102295,4,Hill Climbing
Haaglanden,67,4,64,4,128,0.1,0.0005,16,1.1223325729370117,0.5106250047683716,4,Hill Climbing
Haaglanden,68,4,96,4,128,0.1,0.001,16,1.201602816581726,0.4975000023841858,4,Hill Climbing
Haaglanden,69,4,96,4,128,0.1,0.0005,32,1.043696403503418,0.5575000047683716,4,Hill Climbing
Haaglanden,70,5,128,3,128,0.2,0.001,64,1.6552144289016724,0.3631249964237213,4,Hill Climbing
Haaglanden,71,5,128,2,128,0.2,0.001,64,1.4325573444366455,0.3856250047683716,4,Hill Climbing
Haaglanden,72,5,96,2,128,0.2,0.001,64,1.4966425895690918,0.3943749964237213,4,Hill Climbing
Haaglanden,73,5,128,2,128,0.2,0.001,48,1.219007134437561,0.4762499928474426,4,Hill Climbing
