dataset,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Haaglanden,96,4,64,0.1,0.0001,32,1.3300889730453491,0.4203125,0.3431487261360034,0.4173881722996823,0.33702018689822577,4,Simulated Annealing
Haaglanden,64,4,64,0.1,0.0001,32,1.2886450290679932,0.45078125,0.4130603783031427,0.4512618363490712,0.4046096471207428,4,Simulated Annealing
Haaglanden,64,5,64,0.1,0.0001,32,1.2857553958892822,0.43984375,0.3921823278606344,0.4385747211465801,0.37616016526658635,4,Simulated Annealing
Haaglanden,64,4,64,0.1,0.0001,32,1.3027424812316895,0.440625,0.3955734736217996,0.4407538507325127,0.38850744095028944,4,Simulated Annealing
Haaglanden,64,4,32,0.1,0.0001,32,1.46393883228302,0.38828125,0.343960244315213,0.38868213979548233,0.3249340100257638,4,Simulated Annealing
Haaglanden,96,4,64,0.1,0.0001,32,1.2898099422454834,0.4625,0.4254104213983919,0.4618220618007238,0.420355192931412,4,Simulated Annealing
Haaglanden,96,4,96,0.1,0.0001,32,1.1844456195831299,0.5,0.4626311703450511,0.49844316101501995,0.46540908644581974,4,Simulated Annealing
Haaglanden,96,4,96,0.2,0.0001,32,1.2633405923843384,0.44375,0.3726156612821807,0.4414075204146749,0.3717632991589089,4,Simulated Annealing
Haaglanden,128,4,96,0.2,0.0001,32,1.3264744281768799,0.43203125,0.3944820283733844,0.43124189189458423,0.3633583611739223,4,Simulated Annealing
Haaglanden,96,4,128,0.2,0.0001,32,1.303765058517456,0.459375,0.41271775452607284,0.46071641869056207,0.39988794138464534,4,Simulated Annealing
Haaglanden,96,4,96,0.2,0.0005,32,1.1172858476638794,0.53359375,0.5119414717635582,0.5262991236318711,0.5028203852713166,4,Simulated Annealing
Haaglanden,96,4,96,0.2,0.001,32,1.1043837070465088,0.52578125,0.5019214218874484,0.5157086418125705,0.4879515763255348,4,Simulated Annealing
Haaglanden,96,4,96,0.2,0.001,16,1.1499031782150269,0.51796875,0.5197303379953017,0.5142280418093146,0.4918291195077195,4,Simulated Annealing
